account_no,location_name,business_entity,postcode,address_line_1,address_line_2,town_city,logged_by
A5001574,BRANDON DO,1609.100.,IP27 0AJ,14 HIGH STREET,,BRANDON,Admin
A5001549,BUNGAY DO,1610.100.,NR35 1AA,42 EARSHAM STREET,,BUNGAY,Admin
A5001565,MILDENHALL DO,1611.100.,IP28 7AW,HOLBORN AVENUE,,BURY ST EDMUNDS,Admin
A5001550,DEREHAM DO,1614.100.,NR19 2AA,QUEBEC STREET,,DEREHAM,Admin
A5001573,DISS DO,1615.100.,IP22 4AA,7 MARKET PLACE,,DISS,Admin
A5001570,DISS RTW,1616.100.,IP22 4AN,CHAPEL STREET,,DISS,Admin
A5001551,FAKENHAM DO,1618.100.,NR21 8AA,1 HOLT ROAD,,FAKENHAM,Admin
A5001571,FELIXSTOWE DO,1619.100.,IP11 7AA,143 HAMILTON ROAD,,FELIXSTOWE,Admin
A5001552,GREAT YARMOUTH DO,1620.100.,NR30 1AA,6 NORTH QUAY,,GREAT YARMOUTH,Admin
A5001553,GREAT YARMOUTH RTW,1620.101.,NR30 1AA,6 NORTH QUAY,,GREAT YARMOUTH,Admin
A5001572,HADLEIGH DO,1621.100.,IP7 5AA,7 CHURCH STREET,,IPSWICH,Admin
A5001554,HOLT DO,1623.100.,NR25 6AA,1 CROMER ROAD,,HOLT,Admin
A5001569,IPSWICH DO,1625.100.,IP1 1AA,COMMERCIAL ROAD,,IPSWICH,Admin
A5001546,NORTH WALSHAM DO,1629.100.,NR28 9AA,NEW ROAD,,NORTH WALSHAM,Admin
A5001559,NORWICH MC,1631.100.,NR1 1AA,13-17 THORPE ROAD,,NORWICH,Admin
A5001560,NORWICH RTW,1631.101.,NR1 1AA,13-17 THORPE ROAD,,NORWICH,Admin
A5001566,SAXMUNDHAM DO,1632.100.,IP17 1AA,48 HIGH STREET,,SAXMUNDHAM,Admin
A5001567,STOWMARKET DO,1634.100.,IP14 1AA,62 IPSWICH STREET,,STOWMARKET,Admin
A5001563,THETFORD DO,1635.100.,IP24 2AA,1 MARKET PLACE,,THETFORD,Admin
A5001564,WOODBRIDGE RTW,1636.101.,IP12 4AA,9 CUMBERLAND STREET,,WOODBRIDGE,Admin
A5001561,WYMONDHAM DO,1637.100.,NR18 0AA,18 MIDDLETON STREET,,WYMONDHAM,Admin
A5001556,LOWESTOFT DO,1638.100.,NR32 2ER,UNITS 2 AND 3 BARNARDS WAY,,LOWESTOFT,Admin
A5001557,NORWICH DO,1640.100.,NR7 8ZZ,10-20 ROUNDTREE WAY,,NORWICH,Admin
A5001418,AMPTHILL DO,1643.100.,MK45 2QW,UNIT 1 AMPTHILL BUSINESS PARK,,BEDFORD,Admin
A5001419,BEDFORD DO,1644.100.,MK40 1AA,FORD END ROAD,,BEDFORD,Admin
A5001420,BEDFORD ST,1644.101.,MK40 1AA,FORD END ROAD,,BEDFORD,Admin
A5001427,MILTON KEYNES ST,1646.100.,MK1 1JN,"DAWSON ROAD,",,MILTON KEYNES,Admin
A5001423,BUCKINGHAM DO,1648.100.,MK18 1AA,MARKET HILL,,BUCKINGHAM,Admin
A5001424,BUCKINGHAM ST,1648.101.,MK18 1AA,"MARKET HILL,",,BUCKINGHAM,Admin
A5001426,MILTON KEYNES KILN FARM DO,1654.100.,MK11 3AA,"2 CARTERS LANE,",,MILTON KEYNES,Admin
A5001430,WINSLOW SUDO,1657.100.,MK18 3DG,"61 HIGH STREET,",,BUCKINGHAM,Admin
A5001558,NORWICH LD,167.100.,NR2 4HJ,112-118 BARKER STREET,,NORWICH,Admin
A500122,PETERBOROUGH MC/MED,1683.100.,PE4 5PE,PAPYRUS ROAD,,PETERBOROUGH,Admin
A500123,PETERBOROUGH RTW,1683.101.,PE4 5PE,PAPYRUS ROAD,,PETERBOROUGH,Admin
A5001197,DAGENHAM DO,1688.100.,RM9 5UH,BOXOLL ROAD,,DAGENHAM,Admin
A5001198,DAGENHAM GAR,1688.101.,RM9 5UH,BOXOLL ROAD,,DAGENHAM,Admin
A5001200,HAROLD HILL DO,1691.100.,RM3 8YN,TROWBRIDGE ROAD,,ROMFORD,Admin
A5001204,HORNCHURCH DO,1692.100.,RM12 4AZ,154 ABBS CROSS GARDENS,,HORNCHURCH,Admin
A5001203,RAINHAM RM DO,1695.100.,RM13 9TD,32 WENNINGTON ROAD,,RAINHAM,Admin
A5001208,SOUTH OCKENDON DO,1697.100.,RM15 5DU,DERRY AVENUE,,SOUTH OCKENDON,Admin
A5001201,UPMINSTER DO,1698.100.,RM14 2AS,58 CORBETS TEY ROAD,,UPMINSTER,Admin
A5001202,UPMINSTER ST,1698.101.,RM14 2AS,58 CORBETS TEY ROAD,,UPMINSTER,Admin
A5001196,ROMFORD MC,1700.100.,RM7 0AB,QUEEN ELIZABETH HOUSE,,ROMFORD,Admin
A5001357,ROMFORD RTW,1700.101.,RM7 0AB,QUEEN ELIZABETH HOUSE,,ROMFORD,Admin
A5001302,CARLISLE VOC,174.100.,CA3 0PP,BANKEND ROAD,KINGSTON IND ESTATE,CARLISLE,Admin
A500119,PRINCESS ROYAL RDC,1764.100.,NW10 7RH,NORTH CIRCULAR ROAD,,LONDON,Admin
A5001431,DEPTFORD DO,1792.100.,SE8 5HY,UNIT 11 & 12 SEGRO BUSNESS PARK,BLACKHORSE ROAD,DEPTFORD,Admin
A5001276,ACTON DO,1820.100.,W3 8RL,229 BOLLO LANE,,LONDON,Admin
A500134,MOUNT PLEASANT MC,1828.100.,EC1A 1BB,FARRINGDON ROAD,,LONDON,Admin
A5001615,STONE DO,189.100.,ST15 0YY,OPAL WAY,,STONE,Admin
A500199,PONTYPRIDD DO,190.100.,CF37 1AA,MARITIME INDUSTRIAL ESTATE,,PONTYPRIDD,Admin
A5001611,NEWCASTLE UNDER LYME DO,192.100.,ST5 6ED,1 BROCK WAY,,NEWCASTLE,Admin
A5001286,NEWPORT WEST DO,2.100.,NP20 5XX,FACTORY ROAD,,NEWPORT,Admin
A5001287,NEWPORT WEST RTW,2.101.,NP20 5XX,FACTORY ROAD,,NEWPORT,Admin
A500113,BIRMINGHAM MC,203.100.,B6 4AA,ST STEPHENS STREET,,BIRMINGHAM,Admin
A5001437,BATLEY DO,221.100.,WF17 6GG,GRANGE VALLEY ROAD,,,Admin
A5001233,PARKSTONE DO,232.100.,BH14 0EL,27 BOURNEMOUTH ROAD,,POOLE,Admin
A5001240,WESTBOURNE DO,234.100.,BH4 9AP,10-12 SEAMOOR ROAD,,BOURNEMOUTH,Admin
A5001234,POOLE ALDER HILLS DO,237.100.,BH12 4AH,1-5 ALDER HILLS,,POOLE,Admin
A5001235,POOLE DO,238.100.,BH15 1AA,HILL STREET,,POOLE,Admin
A5001231,NEW MILTON DO,241.100.,BH25 6LJ,122 STATION ROAD,,NEW MILTON,Admin
A5001232,NEW MILTON GAR,241.101.,BH25 6LJ,122 STATION ROAD,,NEW MILTON,Admin
A5001646,ASHTON UNDER LYNE DO,2422.100.,OL6 7PW,35 FLEET STREET,,ASHTON UNDER LYNE,Admin
A5001647,OLDHAM DO,2426.100.,OL1 1AA,21 HAMILTON STREET,,OLDHAM,Admin
A5001645,ROCHDALE DO,2427.100.,OL16 5QX,AINSWORTH STREET,,ROCHDALE,Admin
A5001312,WIGTON DO,2429.100.,CA7 9BB,STATION ROAD,,WIGTON,Admin
A5001310,PENRITH DO,2430.100.,CA11 7AA,CROWN SQUARE,,PENRITH,Admin
A5001304,APPLEBY DOOMGATE GAR,2431.100.,CA16 6RB,DOOMGATE,,APPLEBY IN WESTMORELAND,Admin
A5001307,KESWICK DO,2432.100.,CA12 4PE,PENRITH ROAD,,KESWICK,Admin
A5001308,KIRKBY STEPHEN MELLBECKS GAR,2433.100.,CA17 4QA,VICTORIA SQUARE,,KIRKBY STEPHEN,Admin
A5001311,WHITEHAVEN DO,2435.100.,CA28 7AA,NEWTOWN,,WHITEHAVEN,Admin
A5001305,BRAMPTON DO,2436.100.,CA8 1UP,CRAW HALL,,BRAMPTON,Admin
A500108,CARLISLE MC,2437.100.,CA1 1AA,JUNCTION STREET,,CARLISLE,Admin
A5001300,CARLISLE DO,2437.101,CA1 1AA,JUNCTION STREET,,CARLISLE,Admin
A5001303,CARLISLE RTW,2437.104.,CA1 1AA,JUNCTION STREET,,CARLISLE,Admin
A5001306,EGREMONT DO,2438.100.,CA22 2RB,UNIT 4 BRIDGE END IND EST,,EGREMONT,Admin
A5001313,WORKINGTON RTW,2439.100.,CA14 2AA,UNIT 3 DERWENT DRIVE,,WORKINGTON,Admin
A5001342,EXETER RTW,244.100.,EX2 7LL,CHELSEA TRADING ESTATE,,EXETER,Admin
A5001309,MARYPORT DO,2440.100.,CA15 8NF,22E SOLWAY TRADING ESTATE,,MARYPORT,Admin
A5001271,PWLLHELI DO,2444.100.,LL53 5ND,LOWER CARDIFF ROAD,,PWLLHELI,Admin
A5001264,BANGOR DO,2445.100.,LL57 2TZ,EUSTON ROAD,,BANGOR,Admin
A5001269,LLANGEFNI DO,2446.100.,LL77 7AA,INDUSTRIAL ESTATE ROAD,,LLANGEFNI,Admin
A5001272,PWLLHELI RTW,2447.100.,LL53 5YT,GLANYDON INDUSTRIAL ESTATE,,PWLLHELI,Admin
A5001270,PORTHMADOG DO,2448.100.,LL49 9HF,PENAMSER ROAD,,PORTHMADOG,Admin
A5001266,CAERNARFON DO,2449.100.,LL55 2BU,CIBYN INDUSTRIAL ESTATE,,CAERNARFON,Admin
A5001238,SWANAGE DO,245.100.,BH19 1AA,30-32 KINGS ROAD EAST,,SWANAGE,Admin
A5001261,MOLD ST,2451.101.,CH7 1AA,18 EARL ROAD,,MOLD,Admin
A5001373,CHESTER DO,2454.100.,CH1 3AA,STATION ROAD,,CHESTER,Admin
A5001374,CHESTER RTW,2454.101.,CH1 3AA,"STATION ROAD,",,CHESTER,Admin
A5001273,RHYL DO,2455.100.,LL18 1AA,2 VALE ROAD,,RHYL,Admin
A5001274,RHYL DO (PRESTATYN),2455.101.,LL18 1AA,2 VALE ROAD,,RHYL,Admin
A5001267,COLWYN BAY DO,2458.100.,LL29 8HY,46 PRINCES DRIVE,,COLWYN BAY,Admin
A5001275,WREXHAM DO,2463.100.,LL11 1AA,94 REGENT STREET,,WREXHAM,Admin
A5001246,LLANGOLLEN SUDO,2464.100.,LL20 8RW,33 BERWYN STREET,,LLANGOLLEN,Admin
A5001247,CORWEN DO,2465.100.,LL21 0DJ,GREEN LANE,,CORWEN,Admin
A5001326,BALA DO,2469.100.,LL23 7HA,UNIT 8 INDUSTRIAL ESTATE,,BALA,Admin
A5001230,FERNDOWN DO,247.100.,BH22 9RU,3 QUEENS ROAD,,FERNDOWN,Admin
A5001328,DOLGELLAU DO,2471.100.,LL40 1LP,MEYRICK STREET,,DOLGELLAU,Admin
A5001259,FLINT DO,2474.100.,CH6 5YJ,UNIT F37-F38 ABER ROAD,ASHMOUNT ENTERPRISE PARK,FLINT,Admin
A5001365,CHESTER MC,2475.100.,CH1 4PA,JUPITER DRIVE,,CHESTER,Admin
A5001268,LLANDUDNO DO,2477.100.,LL30 1QX,MAESDU ROAD,,LLANDUDNO,Admin
A5001241,WIMBORNE DO,249.100.,BH21 1AA,29 EAST STREET,,WIMBORNE,Admin
A500133,WARRINGTON RTW,2494.100.,WA2 8NX,KERFOOT STREET,,,Admin
A500130,WARRINGTON DO,2496.100.,WA5 1WA,MILNER STREET,,,Admin
A500131,WARRINGTON RAIL HUB,2498.100.,WA2 8AA,HAWLEYS LANE,,,Admin
A500132,WARRINGTON MC,2499.100.,WA5 3XA,ORION BOULEVARD,,,Admin
A5001239,WAREHAM DO,250.100.,BH20 4AA,4-5 SANDFORD LANE IND ESTATE,,WAREHAM,Admin
A5001263,WALLASEY *VAC*OFF,2510.100.,CH45 5AA,,,,Admin
A5001260,HESWALL DO,2516.100.,CH60 0AA,25 PENSBY ROAD,,HESWALL,Admin
A5001262,NEW FERRY DO,2524.100.,CH62 2AA,41A NEW CHESTER ROAD,,41A NEW CHESTER ROAD,Admin
A5001257,ELLESMERE PORT DO,2528.100.,CH65 5AA,UNIT 13-14 ROSSMORE TRADING ESTATE,,ELLESMERE PORT,Admin
A5001255,BIRKENHEAD DO,2533.100.,CH41 4AA,PACIFIC ROAD,,BIRKENHEAD,Admin
A500111,MANCHESTER MC,2559.100.,M4 5AA,77 OLDHAM ROAD,,MANCHESTER,Admin
A5001319,LANCASTER DO,2589.100.,LA1 1AA,FENTON STREET,,LANCASTER,Admin
A5001315,CARNFORTH DO,2591.100.,LA5 9EP,HUNTER STREET,,CARNFORTH,Admin
A5001316,GRANGE OVER SANDS DO,2592.100.,LA11 6AA,MAIN STREET,,GRANGE OVER SANDS,Admin
A5001317,KENDAL DO,2594.100.,LA9 4AA,75 STRICKLANDGATE,,KENDAL,Admin
A5001314,BARROW IN FURNESS DO,2595.100.,LA14 1AA,142 ABBEY ROAD,,BARROW IN FURNESS,Admin
A5001320,MILLOM DO,2596.100.,LA18 4AA,LAPSTONE ROAD,,MILLOM,Admin
A5001321,ULVERSTON DO,2597.100.,LA12 7AA,COUNTY SQUARE,,ULVERSTON,Admin
A5001378,GARSTANG DO,2598.100.,PR3 1AG,"CHURCH STREET,",,PRESTON,Admin
A5001379,LONGRIDGE DO,2599.100.,PR3 3AA,GREEN LANE,,PRESTON,Admin
A5001381,PRESTON DO,2603.100.,PR1 1AD,CHRISTIAN ROAD,,PRESTON,Admin
A5001377,LEYLAND DO,2604.100.,PR25 2ZB,BRACONASH ROAD,,LEYLAND,Admin
A5001383,PRESTON MC,2612.100.,PR2 9GG,PITTMAN WAY,,PRESTON,Admin
A5001385,PRESTON RTW,2612.101.,PR2 9GG,PITTMAN WAY,,PRESTON,Admin
A5001384,PRESTON SOUTH DO,2613.100.,PR5 6JY,WHITEFIELD MEADOW,,PRESTON,Admin
A5001318,WINDERMERE DO,2614.100.,LA23 1AA,TROUTBECK BRIDGE,,WINDERMERE,Admin
A5001376,CHORLEY DO,2617.100.,PR6 0UU,CHORLEY EAST BUSINESS CENTRE,,CHORLEY,Admin
A5001386,SOUTHPORT DO,2618.100.,PR8 4ZZ,"SOUTHPORT BUSINESS PARK,",,SOUTHPORT,Admin
A5001254,SHREWSBURY ST,2620.100.,SY1 1AA,CASTLE FOREGATE,,SHREWSBURY,Admin
A5001250,SHREWSBURY DO,2620.101.,SY1 1AA,CASTLE FOREGATE,,SHREWSBURY,Admin
A5001332,WELSHPOOL DO,2624.100.,SY21 7AF,SEVERN STREET,,WELSHPOOL,Admin
A5001253,WHITCHURCH DO,2627.100.,SY13 1EW,ROSEMARY LANE,,WHITCHURCH,Admin
A5001249,OSWESTRY RTW,2628.100.,SY10 8GA,MILE OAK INDUSTRIAL ESTATE,,OSWESTRY,Admin
A5001329,LLANDRINDOD WELLS DO,2629.100.,LD1 5AP,STATION CRESCENT,,LLANDRINDOD WELLS,Admin
A5001280,NEWTOWN DO,2633.100.,SY16 1AG,SHORT BRIDGE STREET,,NEWTOWN,Admin
A5001281,NEWTOWN GAR,2633.101.,SY16 1AG,SHORT BRIDGE STREET,,NEWTOWN,Admin
A5001279,LUDLOW DO,2645.100.,SY8 1DD,LINGEN ROAD,,LUDLOW,Admin
A5001278,CRAVEN ARMS DO,2647.100.,SY7 9QA,UNIT 1 CRAVEN ARMS BUSINESS PARK,,CRAVEN ARMS,Admin
A5001331,MACHYNLLETH DO,2648.100.,SY20 8AH,12-15 TREOWAIN INDUSTRIAL ESTATE,,MACHYNLLETH,Admin
A5001248,OSWESTRY DO,2649.100.,SY10 8GP,MILE OAK INDUSTRIAL ESTATE,,OSWESTRY,Admin
A5001449,SKIPTON DO/RTW,2657.100.,BD23 2DG,SANDYLANDS BUSINESS CENTRE,,SKIPTON,Admin
A5001450,WHARFEDALE SUDO,2658.100.,BD23 5DG,HEBDEN ROAD,,SKIPTON,Admin
A5001448,RIBBLESDALE SUDO,2659.100.,BD24 9DL,2A THE SIDINGS,,SETTLE,Admin
A5001237,RINGWOOD DO,266.100.,BH24 3QQ,2-5 HEADLANDS BUSINESS PARK,,RINGWOOD,Admin
A5001590,HUDDERSFIELD DO,2660.100.,HD1 1AA,"NORTHUMBERLAND STREET,",,HUDDERSFIELD,Admin
A5001589,HOLMFIRTH DO,2661.100.,HD9 1AA,"STATION ROAD,",,HOLMFIRTH,Admin
A5001471,HALIFAX DO,2662.100.,HX1 1AA,"5 GAOL LANE,",,HALIFAX,Admin
A5001591,SCISSETT DO,2664.100.,S35 1AA,"57-59 BURNCROSS ROAD,",,SHEFFIELD,Admin
A5001588,BRIGHOUSE DO,2665.100.,HD6 1AA,"DYEHOUSE LANE,",,BRIGHOUSE,Admin
A5001592,SLAITHWAITE DO,2666.100.,HD7 5AA,"SPA FIELDS INDUSTRIAL ESTATE,",,HUDDERSFIELD,Admin
A5001445,BRADFORD NORTH DO,2668.100.,BD1 4RS,INKERSLEY ROAD,,BRADFORD,Admin
A5001447,BRADFORD VALLEY DO,2668.101.,BD1 4RD,INKERSLEY ROAD,,BRADFORD,Admin
A5001446,BRADFORD SOUTH DO,2669.100.,BD5 7RS,STONE ARCHES,,BRADFORD,Admin
A500189,ABERDARE DO,267.100.,CF44 6ZZ,ABERAMAN INDUSTRIAL ESTATE,,ABERDARE,Admin
A5001456,NORTHALLERTON DO,2670.100.,DL10 4TE,156 HIGH STREET,,NORTHALLERTON,Admin
A5001454,LEYBURN DO,2672.100.,DL8 5AA,MOOR ROAD,,LEYBURN,Admin
A5001457,SPENNYMOOR DO,2673.100.,DL16 6AE,7 FESTIVAL WALK,,SPENNYMOOR,Admin
A5001455,NEWTON AYCLIFFE DO,2674.100.,DL5 6EL,HILTON ROAD,,NEWTON AYCLIFFE,Admin
A5001452,DARLINGTON DO,2675.100.,DL1 1AA,2 ST CUTHBERTS WAY,,DARLINGTON,Admin
A5001453,DARLINGTON RTW,2676.100.,DL3 0QG,FAVERDALE WEST,,DARLINGTON,Admin
A5001541,HOUGHTON LE SPRING DO,2678.100.,DH4 5EL,SCOTT STREET,,HOUGHTON LE SPRING,Admin
A5001540,DURHAM DO,2679.100.,DH1 1SE,BELMONT INDUSTRIAL ESTATE,,DURHAM,Admin
A5001581,MIDDLESBROUGH DO,2683.100.,TS1 1AA,"2 CANNON PARK WAY,",,MIDDLESBROUGH,Admin
A5001583,SKELTON IN CLEVELAND DO,2684.100.,TS12 2NW,"SKELTON INDUSTRIAL ESTATE,",,SALTBURN BY THE SEA,Admin
A5001578,COULBY NEWHAM DO,2685.100.,TS8 0UD,"RIDGEWAY, MIDDLESBROUGH",,,Admin
A5001580,HARTLEPOOL DO,2686.100.,TS24 7AA,"CLARK STREET, HARTLEPOOL",,HARTLEPOOL,Admin
A5001584,STOCKTON ON TEES DO,2687.100.,TS19 0BJ,"ORDE WINGATE WAY,",,STOCKTON ON TEES,Admin
A5001459,RICHMOND DL DO,2688.100.,DL10 4TE,GALLOWFIELDS TRADING ESTATE,,RICHMOND,Admin
A5001458,WEAR VALLEY DO,2689.100.,DL14 7AL,BOB HARDISTY DRIVE,,BISHOP AUCKLAND,Admin
A5001451,BARNARD CASTLE DO,2690.100.,DL12 8AX,HARMIRE ENTERPRISE PARK,,BARNARD CASTLE,Admin
A5001579,GUISBOROUGH DO,2691.100.,TS14 7GB,"MORGAN DRIVE,",,GUISBOROUGH,Admin
A5001582,REDCAR DO,2692.100.,TS10 5RD,"MALMO COURT,",,REDCAR,Admin
A500160,HEXHAM DO,2694.100.,NE46 4JA,BRIDGE END INDUSTRIAL ESTATE,,HEXHAM,Admin
A5001467,SCUNTHORPE DO,2696.100.,DN15 7AA,CHURCH LANE,,SCUNTHORPE,Admin
A5001443,BRIGG DO,2697.100.,DN20 8EE,26 BIGBY STREET,,BRIGG,Admin
A5001620,LOUTH DO,2698.100.,LN11 9ND,15 EASTGATE,,LOUTH,Admin
A5001465,IMMINGHAM DO,2701.100.,DN40 1BL,MIDDLEPLATT ROAD,,IMMINGHAM,Admin
A5001460,DONCASTER DO,2703.100.,DN4 5NE,MIDDLE BANK,,DONCASTER,Admin
A5001444,GOOLE DO,2704.100.,DN14 6DA,LARSEN ROAD,,GOOLE,Admin
A5001617,ALFORD DO,2705.100.,LN13 9ET,BEECHINGS WAY,,ALFORD,Admin
A5001466,RETFORD DO,2706.100.,DN22 7GB,HALLCROFT INDUSTRIAL ESTATE,,RETFORD,Admin
A5001464,GRIMSBY RTW,2708.100.,DN31 2TG,UNIT 18 ESTATE ROAD 8,,GRIMSBY,Admin
A5001462,GAINSBOROUGH DO,2710.100.,DN21 2HR,14 NORTH STREET,,GAINSBOROUGH,Admin
A5001618,LINCOLN DO,2711.100.,LN5 7NU,FIRTH ROAD,,LINCOLN,Admin
A5001621,MARKET RASEN DO,2712.100.,LN8 3HA,GALLAMORE LANE,,MARKET RASEN,Admin
